relation_family,node_id,node_label,node_type,degree,betweenness_undirected_projection,top_degree_5,top_betweenness_5
INSTITUTION_EVENT_ORGANIZER,EP-0004,Wonhaeng sunim (원행 스님),PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EP-0008,Jugyeong sunim (주경 스님),PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0003,2nd Global Buddhist Summit,EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EP-0003,Jinwoo sunim (진우 스님),PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0023,Sangwol Society,INSTITUTIONS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0008,Bunhwangsa India groundbreaking,EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0017,Enshrinement of Dhyānabhadra's relics at Hoeamsa,EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0006,Marananta,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EP-0009,Jang Jae-bok (장재복),PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0030,International Buddhist Problems Research Institute,INSTITUTIONS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0009,Iryŏn,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0012,Baedalta,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EP-0006,Abhijit Halder,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,TX-0010,The Lamp of the East (1929 message),TEXTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,EV-0013,BBS Seon Meditation Tour 4 India-Nepal,EVENTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0002,Woncheuk,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,EV-0004,Jungto Society annual India pilgrimage program,EVENTS,1,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0034,Han Yong-un,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0013,Ariyabalma,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0024,Naong Hyegeun,PEOPLE,1,0.000000,0,0
PERSON_EVENT_PARTICIPATION,TX-0002,Haedong-so commentaries,TEXTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,EV-0019,Wang ocheonchukguk jeon first public display at National Museum of Korea,EVENTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,TX-0007,Chosŏn Pulgyo T'ongsa,TEXTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,I-0014,Bodh Gaya International College of Buddhist Studies,INSTITUTIONS,0,0.000000,0,0
